"","id","host_id","host_response_time","host_response_rate","host_accept_rate","superhost","n_host_listings","room_type","bedrooms","beds","price","n_reviews","rev_rating","rev_accuracy","rev_clean","rev_checkin","rev_comm","rev_location","rev_value","license","instant_bookable","n_reviews_month","balcony","lake_access","waterfront","private_entry","workspace","backyard","beachfront","kitchen","oven","stove","wifi","fridge","iron","bed_linens","tv","dryer","coffee_maker","washer","microwave","shampoo","hot_water","hangers","dishwasher","freezer","heating","free_parking","breakfast","fireplace","hair_dryer","pool","sauna","hot_tub","gym","bbq","airco","greeting_host","crib","high_chair","pets_allow","elevator","single_level","baby_safety_gates","baby_bath","changing_table","baby_monitor","fire_extinguisher","smoke_alarm","security_cameras","carbon_monoxide_alarm","smart_lock","first_aid"
"12",49552,225987,"within a few hours","100%","91%",1,1,"Entire home/apt",2,2,"$157.00",375,4.9,4.91,4.89,4.95,4.96,4.98,4.75,1,0,3.61,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1
"13",49790,227530,"within a day","100%",NA,0,0,"Entire home/apt",2,2,"$250.00",103,4.93,4.96,4.81,4.91,4.98,4.82,4.73,1,0,0.83,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
"14",50515,231864,"a few days or more","0%","50%",0,1,"Entire home/apt",3,3,"$115.00",17,4.75,4.83,4.83,4.83,4.83,4.5,4.75,0,0,0.2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"15",50523,231946,"within an hour","90%","92%",1,1,"Private room",1,1,"$118.00",309,4.86,4.9,4.89,4.87,4.85,4.95,4.83,1,0,2.53,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"16",52490,185836,NA,NA,NA,0,1,"Private room",1,1,"$75.00",102,4.62,4.57,4.73,4.8,4.81,4.55,4.47,0,0,1.21,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"17",53671,247822,NA,NA,NA,0,1,"Private room",1,1,"$100.00",309,4.55,4.68,4.55,4.78,4.81,4.7,4.46,0,0,2.47,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"18",55621,262846,NA,NA,NA,0,1,"Entire home/apt",2,2,"$222.00",32,4.77,4.79,4.72,4.93,5,4.83,4.66,1,0,0.49,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"19",55868,264178,"within a few hours","100%","0%",0,1,"Entire home/apt",2,2,"$149.00",95,4.86,4.91,4.86,4.95,4.98,4.95,4.8,1,0,0.9,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"20",62015,301340,"within a few hours","100%","100%",0,1,"Entire home/apt",1,1,"$120.00",35,4.91,4.94,4.88,5,4.94,4.67,4.58,1,0,1.07,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"21",62801,306117,NA,NA,NA,0,1,"Entire home/apt",2,1,"$750.00",0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",64736,306192,NA,NA,NA,1,1,"Entire home/apt",1,1,"$189.00",103,4.9,4.89,4.92,4.98,4.99,4.86,4.81,0,0,1.17,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
"23",67841,335166,NA,NA,"50%",0,3,"Entire home/apt",1,1,"$106.00",16,4.71,5,4.93,4.93,4.64,5,4.71,0,0,0.17,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"24",70598,339333,NA,NA,"50%",1,1,"Private room",1,1,"$40.00",107,4.75,4.83,4.83,4.88,4.83,4.29,4.75,1,0,1.62,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"25",75382,399879,NA,NA,"67%",0,3,"Private room",1,2,"$55.00",254,4.77,4.83,4.72,4.9,4.87,4.76,4.68,0,1,3.45,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"26",75444,399879,NA,NA,"67%",0,3,"Private room",1,1,"$48.00",324,4.69,4.8,4.69,4.85,4.89,4.69,4.6,0,1,4.15,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"27",75499,400896,"within a day","50%","54%",0,3,"Entire home/apt",1,2,"$90.00",36,4.97,4.97,4.97,4.97,4.91,4.85,4.82,1,0,0.5,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"28",76459,400896,"within a day","50%","54%",0,3,"Private room",1,2,"$90.00",16,4.87,5,5,5,5,4.93,4.93,1,0,0.26,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"29",76668,409579,NA,NA,NA,1,1,"Hotel room",2,2,"$170.00",64,4.84,4.9,4.94,4.98,4.95,4.84,4.73,1,0,1.45,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1
"30",80635,436145,"within an hour","98%","100%",0,4,"Private room",1,1,"$57.00",224,4.77,4.73,4.81,4.86,4.79,4.95,4.59,1,1,1.8,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
"31",82482,186729,NA,NA,NA,0,1,"Entire home/apt",NA,2,"$113.00",877,4.47,4.56,4.27,4.76,4.7,4.91,4.41,1,0,7.08,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"32",82748,450453,"within a few hours","100%","100%",0,2,"Entire home/apt",1,2,"$249.00",131,4.79,4.84,4.7,4.89,4.93,4.96,4.76,0,0,1.27,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"33",85008,65041,"within a few hours","100%","0%",0,1,"Entire home/apt",NA,2,"$66.00",11,4.27,4.4,4.2,4.4,4.7,4.6,4.3,0,0,0.09,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"34",91535,494281,NA,NA,NA,0,1,"Private room",1,1,"$95.00",44,4.77,4.91,4.66,4.91,4.86,4.91,4.73,1,1,0.7,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
"35",97221,195859,"within an hour","100%","100%",1,2,"Private room",1,2,"$45.00",198,4.55,4.62,4.87,4.74,4.73,4.26,4.4,1,0,1.88,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
"36",97476,485930,NA,NA,NA,0,1,"Entire home/apt",1,1,"$99.00",53,4.88,4.96,4.9,4.94,4.96,4.85,4.85,1,0,0.72,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"37",104800,544888,"within an hour","100%","100%",0,1,"Entire home/apt",2,1,"$150.00",97,4.61,4.67,4.37,4.75,4.84,4.4,4.43,0,0,1.44,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"38",108890,563208,NA,NA,NA,0,1,"Entire home/apt",1,2,"$100.00",3,5,5,5,5,5,5,5,0,0,0.06,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",110246,567065,"a few days or more","25%","0%",0,0,"Entire home/apt",2,2,"$125.00",4,4,3.67,4,3,3,4,4.67,0,0,0.03,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"40",130390,642044,NA,NA,NA,0,1,"Private room",1,1,"$80.00",29,4.85,4.96,4.96,4.89,4.96,4.85,4.85,0,0,0.25,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",137026,670266,"within a day","86%","0%",0,1,"Entire home/apt",3,3,"$161.00",97,4.76,4.79,4.7,4.96,4.87,4.82,4.64,1,0,0.88,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"42",141708,689016,NA,NA,NA,0,2,"Entire home/apt",2,2,"$145.00",86,4.75,4.78,4.86,4.85,4.96,4.54,4.67,0,0,0.84,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"43",148132,715549,NA,NA,NA,0,1,"Private room",1,1,"$37.00",4,4.75,5,4.75,5,4.75,4.75,4.75,0,0,0.12,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",150634,725727,"a few days or more","0%","0%",0,1,"Private room",1,2,"$120.00",61,4.46,4.54,4.18,4.57,4.45,4.71,4.23,0,0,0.98,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"45",155548,748161,NA,NA,NA,0,1,"Entire home/apt",1,1,"$150.00",21,4.76,4.76,4.81,4.81,4.86,4.33,4.52,0,0,0.34,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",162467,776296,"within a few hours","90%","69%",0,1,"Entire home/apt",1,1,"$145.00",60,4.75,4.81,4.66,4.9,4.91,4.68,4.51,1,0,0.78,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"47",165833,790547,"within an hour","100%","46%",0,1,"Entire home/apt",3,4,"$112.00",41,4.85,4.9,4.93,4.8,4.95,4.78,4.8,1,0,0.84,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
"48",168769,436145,"within an hour","98%","100%",0,4,"Private room",1,1,"$80.00",263,4.57,4.64,4.75,4.76,4.7,4.96,4.38,1,1,2.18,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
"49",169356,806976,"within a day","100%","40%",0,1,"Entire home/apt",1,1,"$157.00",23,5,5,5,5,5,4.95,4.95,1,0,0.26,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
"50",171054,815989,NA,NA,NA,0,1,"Entire home/apt",2,3,"$120.00",103,4.75,4.82,4.77,4.96,4.97,4.73,4.75,0,0,0.84,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
"51",171631,818479,"a few days or more","0%","0%",0,1,"Entire home/apt",3,3,"$97.00",48,4.79,4.63,4.6,4.92,4.85,4.44,4.54,0,0,0.42,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"52",174592,834139,NA,NA,NA,0,1,"Entire home/apt",1,1,"$170.00",139,4.3,4.41,3.89,4.51,4.56,4.64,4.32,0,0,1.21,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"53",179528,856540,"within an hour","100%","100%",0,2,"Entire home/apt",2,2,"$250.00",27,4.46,4.71,4.33,4.79,4.92,4.58,4.39,1,1,0.22,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
"54",182839,876866,NA,NA,NA,0,1,"Entire home/apt",2,2,"$125.00",15,4.89,4.92,4.85,5,5,4.77,4.85,0,0,0.13,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"55",188347,907405,"within a few hours","100%","100%",0,2,"Private room",1,1,"$40.00",369,4.65,4.7,4.81,4.84,4.88,4.48,4.5,1,0,3.51,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
"56",189754,915591,"within an hour","100%","100%",1,1,"Entire home/apt",1,3,"$150.00",193,4.76,4.84,4.83,4.93,4.94,4.93,4.6,1,1,2.03,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1
"57",190943,922787,NA,NA,NA,0,1,"Entire home/apt",2,2,"$80.00",10,4.3,4.4,3.9,4.5,4.6,4.4,4.4,0,0,0.27,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"58",193038,935742,"within an hour","100%","100%",1,2,"Private room",1,1,"$88.00",605,4.96,4.96,4.98,4.99,4.97,4.95,4.89,1,1,4.97,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
"59",199844,976652,NA,NA,NA,0,1,"Entire home/apt",1,2,"$99.00",42,4.8,4.85,4.95,4.98,5,4.54,4.37,0,0,0.43,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"60",203658,999036,NA,NA,NA,0,1,"Entire home/apt",3,4,"$284.00",24,4.86,4.96,4.78,5,4.91,4.74,4.74,0,0,0.31,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",205759,1011967,NA,NA,NA,0,1,"Entire home/apt",1,1,"$99.00",2,4.5,5,5,5,5,4.5,4,0,0,0.03,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"62",212050,887591,"within an hour","100%","0%",0,1,"Entire home/apt",2,3,"$246.00",20,4.78,4.79,4.53,5,5,4.84,4.53,0,0,0.31,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"63",213371,1100324,"within a few hours","100%","100%",1,0,"Entire home/apt",3,4,"$200.00",22,4.86,4.85,4.24,4.95,5,4.86,4.62,1,0,0.18,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
"64",213721,599238,NA,NA,NA,0,1,"Entire home/apt",1,1,"$151.00",41,4.95,4.95,4.78,4.93,4.95,4.75,4.68,0,0,0.85,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
"65",214531,1107389,"within a few hours","100%","63%",1,1,"Private room",1,2,"$99.00",169,4.83,4.86,4.78,4.88,4.84,4.88,4.74,1,0,1.58,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"66",219276,1135329,"within an hour","100%","100%",0,2,"Private room",1,1,"$245.00",10,5,5,5,5,5,5,4.67,1,0,0.42,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"67",222516,1155595,"within an hour","100%","100%",1,1,"Entire home/apt",1,1,"$119.00",135,4.71,4.82,4.77,4.86,4.88,4.53,4.54,1,0,1.33,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"68",230710,1205924,NA,NA,NA,0,1,"Entire home/apt",2,2,"$125.00",16,4.57,4.79,4.86,4.86,4.93,4.79,4.71,0,0,0.21,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"69",245927,1005087,"within an hour","100%","100%",1,2,"Entire home/apt",2,3,"$264.00",112,4.82,4.91,4.87,4.86,4.85,4.97,4.63,1,1,1.03,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1
"70",247805,1298735,"within a few hours","100%","100%",1,1,"Private room",1,0,"$122.00",344,4.86,4.93,4.88,4.94,4.95,4.86,4.74,1,0,3.66,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1
"71",250751,1314658,NA,NA,NA,1,1,"Entire home/apt",1,1,"$79.00",102,4.47,4.63,4.29,4.62,4.77,4.43,4.3,0,0,0.89,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"72",252080,1322517,"within an hour","100%",NA,0,1,"Entire home/apt",2,2,"$385.00",11,4.89,4.9,4.9,4.8,5,4.9,4.7,1,0,0.1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"73",254104,1334704,"a few days or more","0%",NA,1,1,"Private room",1,1,"$149.00",81,4.91,4.96,4.96,4.95,4.93,4.89,4.75,0,0,1.1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
